insert into account values(3300000, "name20000", 990.54);
insert into account values(3300100, "name20100", 439.137);
insert into account values(3300101, "name20101", 241.752);
insert into account values(3300102, "name20102", 885.853);
insert into account values(3300103, "name20103", 488.718);
insert into account values(3300104, "name20104", 540.652);
insert into account values(3300105, "name20105", 538.359);
insert into account values(3300106, "name20106", 120.545);
insert into account values(3300107, "name20107", 850.399);
insert into account values(3300108, "name20108", 74.938);
insert into account values(3300109, "name20109", 31.329);
insert into account values(3300110, "name20110", 291.599);
insert into account values(3300111, "name20111", 694.082);
insert into account values(3300112, "name20112", 189.883);
insert into account values(3300113, "name20113", 900.357);
insert into account values(3300114, "name20114", 814.427);
insert into account values(3300115, "name20115", 142.119);
insert into account values(3300116, "name20116", 230.805);
insert into account values(3300117, "name20117", 284.372);
insert into account values(3300118, "name20118", 651.115);
insert into account values(3300119, "name20119", 542.817);
insert into account values(3300120, "name20120", 451.08);
insert into account values(3300121, "name20121", 165.86);
insert into account values(3300122, "name20122", 659.018);
insert into account values(3300123, "name20123", 981.049);
insert into account values(3300124, "name20124", 525.016);
insert into account values(3300125, "name20125", 825.046);
insert into account values(3300126, "name20126", 711.534);
insert into account values(3300127, "name20127", 904.865);
insert into account values(3300128, "name20128", 129.983);
insert into account values(3300129, "name20129", 695.729);
insert into account values(3300130, "name20130", 150.586);
insert into account values(3300131, "name20131", 671.37);
insert into account values(3300132, "name20132", 40.472);
insert into account values(3300133, "name20133", 0.725);
insert into account values(3300134, "name20134", 198.733);
insert into account values(3300135, "name20135", 278.918);
insert into account values(3300136, "name20136", 375.885);
insert into account values(3300137, "name20137", 35.432);
insert into account values(3300138, "name20138", 123.001);
insert into account values(3300139, "name20139", 573.486);
insert into account values(3300140, "name20140", 487.25);
insert into account values(3300141, "name20141", 769.396);
insert into account values(3300142, "name20142", 922.886);
insert into account values(3300143, "name20143", 256.83);
insert into account values(3300144, "name20144", 254.04);
insert into account values(3300145, "name20145", 777.366);
insert into account values(3300146, "name20146", 305.212);
insert into account values(3300147, "name20147", 736.74);
insert into account values(3300148, "name20148", 308.243);
insert into account values(3300149, "name20149", 805.449);
insert into account values(3300150, "name20150", 635.332);
insert into account values(3300151, "name20151", 248.396);
insert into account values(3300152, "name20152", 607.141);
insert into account values(3300153, "name20153", 660.961);
insert into account values(3300154, "name20154", 345.8);
insert into account values(3300155, "name20155", 529.351);
insert into account values(3300156, "name20156", 0.64);
insert into account values(3300157, "name20157", 126.009);
insert into account values(3300158, "name20158", 828.366);
insert into account values(3300159, "name20159", 342.535);
insert into account values(3300160, "name20160", 380.103);
insert into account values(3300161, "name20161", 123.998);
insert into account values(3300162, "name20162", 749.849);
insert into account values(3300163, "name20163", 433.669);
insert into account values(3300164, "name20164", 211.942);
insert into account values(3300165, "name20165", 348.097);
insert into account values(3300166, "name20166", 893.943);
insert into account values(3300167, "name20167", 476.228);
insert into account values(3300168, "name20168", 948.173);
insert into account values(3300169, "name20169", 480.017);
insert into account values(3300170, "name20170", 437.196);
insert into account values(3300171, "name20171", 369.347);
insert into account values(3300172, "name20172", 376.138);
insert into account values(3300173, "name20173", 624.43);
insert into account values(3300174, "name20174", 687.862);
insert into account values(3300175, "name20175", 227.838);
insert into account values(3300176, "name20176", 522.012);
insert into account values(3300177, "name20177", 172.567);
insert into account values(3300178, "name20178", 75.912);
insert into account values(3300179, "name20179", 634.125);
insert into account values(3300180, "name20180", 966.952);
insert into account values(3300181, "name20181", 668.973);
insert into account values(3300182, "name20182", 91.775);
insert into account values(3300183, "name20183", 139.22);
insert into account values(3300184, "name20184", 934.568);
insert into account values(3300185, "name20185", 399.918);
insert into account values(3300186, "name20186", 935.776);
insert into account values(3300187, "name20187", 389.241);
insert into account values(3300188, "name20188", 430.023);
insert into account values(3300189, "name20189", 152.651);
insert into account values(3300190, "name20190", 409.135);
insert into account values(3300191, "name20191", 822.73);
insert into account values(3300192, "name20192", 970.63);
insert into account values(3300193, "name20193", 988.003);
insert into account values(3300194, "name20194", 994.225);
insert into account values(3300195, "name20195", 60.212);
insert into account values(3300196, "name20196", 987.682);
insert into account values(3300197, "name20197", 733.062);
insert into account values(3300198, "name20198", 164.14);
insert into account values(3300199, "name20199", 884.477);
insert into account values(3300200, "name20200", 301.235);
insert into account values(3300201, "name20201", 946.434);
insert into account values(3300202, "name20202", 726.834);
insert into account values(3300203, "name20203", 662.707);
insert into account values(3300204, "name20204", 484.599);
insert into account values(3300205, "name20205", 757.417);
insert into account values(3300206, "name20206", 492.049);
insert into account values(3300207, "name20207", 119.266);
insert into account values(3300208, "name20208", 978.381);
insert into account values(3300209, "name20209", 100.68);
insert into account values(3300210, "name20210", 804.021);
insert into account values(3300211, "name20211", 206.099);
insert into account values(3300212, "name20212", 962.563);
insert into account values(3300213, "name20213", 744.562);
insert into account values(3300214, "name20214", 937.293);
insert into account values(3300215, "name20215", 208.775);
insert into account values(3300216, "name20216", 825.041);
insert into account values(3300217, "name20217", 881.548);
insert into account values(3300218, "name20218", 820.538);
insert into account values(3300219, "name20219", 644.176);
insert into account values(3300220, "name20220", 288.659);
insert into account values(3300221, "name20221", 487.918);
insert into account values(3300222, "name20222", 318.716);
insert into account values(3300223, "name20223", 583.336);
insert into account values(3300224, "name20224", 539.643);
insert into account values(3300225, "name20225", 963.424);
insert into account values(3300226, "name20226", 455.94);
insert into account values(3300227, "name20227", 880.552);
insert into account values(3300228, "name20228", 781.284);
insert into account values(3300229, "name20229", 988.427);
insert into account values(3300230, "name20230", 586.594);
insert into account values(3300231, "name20231", 917.882);
insert into account values(3300232, "name20232", 18.944);
insert into account values(3300233, "name20233", 354.459);
insert into account values(3300234, "name20234", 807.233);
insert into account values(3300235, "name20235", 261.216);
insert into account values(3300236, "name20236", 171.555);
insert into account values(3300237, "name20237", 479.796);
insert into account values(3300238, "name20238", 392.814);
insert into account values(3300239, "name20239", 60.659);
insert into account values(3300240, "name20240", 685.349);
insert into account values(3300241, "name20241", 729.274);
insert into account values(3300242, "name20242", 252.725);
insert into account values(3300243, "name20243", 203.404);
insert into account values(3300244, "name20244", 602.324);
insert into account values(3300245, "name20245", 521.983);
insert into account values(3300246, "name20246", 175.581);
insert into account values(3300247, "name20247", 597.471);
insert into account values(3300248, "name20248", 127.856);
insert into account values(3300249, "name20249", 983.281);
insert into account values(3300250, "name20250", 472.134);
insert into account values(3300251, "name20251", 523.691);
insert into account values(3300252, "name20252", 124.894);
insert into account values(3300253, "name20253", 868.906);
insert into account values(3300254, "name20254", 801.202);
insert into account values(3300255, "name20255", 177.323);
insert into account values(3300256, "name20256", 648.23);
insert into account values(3300257, "name20257", 406.254);
insert into account values(3300258, "name20258", 619.833);
insert into account values(3300259, "name20259", 838.856);
insert into account values(3300260, "name20260", 322.188);
insert into account values(3300261, "name20261", 24.616);
insert into account values(3300262, "name20262", 120.195);
insert into account values(3300263, "name20263", 912.508);
insert into account values(3300264, "name20264", 137.018);
insert into account values(3300265, "name20265", 7.645);
insert into account values(3300266, "name20266", 878.867);
insert into account values(3300267, "name20267", 285.601);
insert into account values(3300268, "name20268", 181.541);
insert into account values(3300269, "name20269", 182.319);
insert into account values(3300270, "name20270", 291.374);
insert into account values(3300271, "name20271", 867.712);
insert into account values(3300272, "name20272", 395.5);
insert into account values(3300273, "name20273", 539.3);
insert into account values(3300274, "name20274", 332.824);
insert into account values(3300275, "name20275", 761.634);
insert into account values(3300276, "name20276", 341.636);
insert into account values(3300277, "name20277", 408.853);
insert into account values(3300278, "name20278", 188.255);
insert into account values(3300279, "name20279", 532.563);
insert into account values(3300280, "name20280", 768.926);
insert into account values(3300281, "name20281", 667.631);
insert into account values(3300282, "name20282", 515.925);
insert into account values(3300283, "name20283", 412.01);
insert into account values(3300284, "name20284", 340.919);
insert into account values(3300285, "name20285", 878.325);
insert into account values(3300286, "name20286", 956.002);
insert into account values(3300287, "name20287", 844.81);
insert into account values(3300288, "name20288", 936.935);
insert into account values(3300289, "name20289", 527.868);
insert into account values(3300290, "name20290", 54.665);
insert into account values(3300291, "name20291", 261.14);
insert into account values(3300292, "name20292", 795.451);
insert into account values(3300293, "name20293", 441.205);
insert into account values(3300294, "name20294", 804.214);
insert into account values(3300295, "name20295", 515.802);
insert into account values(3300296, "name20296", 12.331);
insert into account values(3300297, "name20297", 826.767);
insert into account values(3300298, "name20298", 222.518);
insert into account values(3300299, "name20299", 311.278);
insert into account values(3300300, "name20300", 107.709);
insert into account values(3300301, "name20301", 875.659);
insert into account values(3300302, "name20302", 245.864);
insert into account values(3300303, "name20303", 667.969);
insert into account values(3300304, "name20304", 709.032);
insert into account values(3300305, "name20305", 699.326);
insert into account values(3300306, "name20306", 802.964);
insert into account values(3300307, "name20307", 401.764);
insert into account values(3300308, "name20308", 788.21);
insert into account values(3300309, "name20309", 124.402);
insert into account values(3300310, "name20310", 744.243);
insert into account values(3300311, "name20311", 389.227);
insert into account values(3300312, "name20312", 828.546);
insert into account values(3300313, "name20313", 44.029);
insert into account values(3300314, "name20314", 958.422);
insert into account values(3300315, "name20315", 238.669);
insert into account values(3300316, "name20316", 488.846);
insert into account values(3300317, "name20317", 253.273);
insert into account values(3300318, "name20318", 494.677);
insert into account values(3300319, "name20319", 905.301);
insert into account values(3300320, "name20320", 195.383);
insert into account values(3300321, "name20321", 614.794);
insert into account values(3300322, "name20322", 481.738);
insert into account values(3300323, "name20323", 325.572);
insert into account values(3300324, "name20324", 695.744);
insert into account values(3300325, "name20325", 384.619);
insert into account values(3300326, "name20326", 136.308);
insert into account values(3300327, "name20327", 64.133);
insert into account values(3300328, "name20328", 682.602);
insert into account values(3300329, "name20329", 345.145);
insert into account values(3300330, "name20330", 36.893);
insert into account values(3300331, "name20331", 993.975);
insert into account values(3300332, "name20332", 227.827);
insert into account values(3300333, "name20333", 253.334);
insert into account values(3300334, "name20334", 159.267);
insert into account values(3300335, "name20335", 972.59);
insert into account values(3300336, "name20336", 842.531);
insert into account values(3300337, "name20337", 224.304);
insert into account values(3300338, "name20338", 345.179);
insert into account values(3300339, "name20339", 258.387);
insert into account values(3300340, "name20340", 629.678);
insert into account values(3300341, "name20341", 309.248);
insert into account values(3300342, "name20342", 228.625);
insert into account values(3300343, "name20343", 926.952);
insert into account values(3300344, "name20344", 4.628);
insert into account values(3300345, "name20345", 378.524);
insert into account values(3300346, "name20346", 656.754);
insert into account values(3300347, "name20347", 153.124);
insert into account values(3300348, "name20348", 270.404);
insert into account values(3300349, "name20349", 577.46);
insert into account values(3300350, "name20350", 47.402);
insert into account values(3300351, "name20351", 830.381);
insert into account values(3300352, "name20352", 833.348);
insert into account values(3300353, "name20353", 409.64);
insert into account values(3300354, "name20354", 770.814);
insert into account values(3300355, "name20355", 895.169);
insert into account values(3300356, "name20356", 438.891);
insert into account values(3300357, "name20357", 451.665);
insert into account values(3300358, "name20358", 155.747);
insert into account values(3300359, "name20359", 206.411);
insert into account values(3300360, "name20360", 499.472);
insert into account values(3300361, "name20361", 254.788);
insert into account values(3300362, "name20362", 369.309);
insert into account values(3300363, "name20363", 373.341);
insert into account values(3300364, "name20364", 136.584);
insert into account values(3300365, "name20365", 324.25);
insert into account values(3300366, "name20366", 88.722);
insert into account values(3300367, "name20367", 215.888);
insert into account values(3300368, "name20368", 394.428);
insert into account values(3300369, "name20369", 746.803);
insert into account values(3300370, "name20370", 718.884);
insert into account values(3300371, "name20371", 316.477);
insert into account values(3300372, "name20372", 706.056);
insert into account values(3300373, "name20373", 987.158);
insert into account values(3300374, "name20374", 406.402);
insert into account values(3300375, "name20375", 217.144);
insert into account values(3300376, "name20376", 839.005);
insert into account values(3300377, "name20377", 246.778);
insert into account values(3300378, "name20378", 617.199);
insert into account values(3300379, "name20379", 853.448);
insert into account values(3300380, "name20380", 240.168);
insert into account values(3300381, "name20381", 819.985);
insert into account values(3300382, "name20382", 96.738);
insert into account values(3300383, "name20383", 941.321);
insert into account values(3300384, "name20384", 411.456);
insert into account values(3300385, "name20385", 738.703);
insert into account values(3300386, "name20386", 339.5);
insert into account values(3300387, "name20387", 378.633);
insert into account values(3300388, "name20388", 289.1);
insert into account values(3300389, "name20389", 556.767);
insert into account values(3300390, "name20390", 590.189);
insert into account values(3300391, "name20391", 46.006);
insert into account values(3300392, "name20392", 967.891);
insert into account values(3300393, "name20393", 88.783);
insert into account values(3300394, "name20394", 190.472);
insert into account values(3300395, "name20395", 874.103);
insert into account values(3300396, "name20396", 807.211);
insert into account values(3300397, "name20397", 16.927);
insert into account values(3300398, "name20398", 704.674);
insert into account values(3300399, "name20399", 906.022);
insert into account values(3300400, "name20400", 581.843);
insert into account values(3300401, "name20401", 281.774);
insert into account values(3300402, "name20402", 602.647);
insert into account values(3300403, "name20403", 247.86);
insert into account values(3300404, "name20404", 475.208);
insert into account values(3300405, "name20405", 495.98);
insert into account values(3300406, "name20406", 664.117);
insert into account values(3300407, "name20407", 557.061);
insert into account values(3300408, "name20408", 797.82);
insert into account values(3300409, "name20409", 910.073);
insert into account values(3300410, "name20410", 233.351);
insert into account values(3300411, "name20411", 955.56);
insert into account values(3300412, "name20412", 797.098);
insert into account values(3300413, "name20413", 330.789);
insert into account values(3300414, "name20414", 736.859);
insert into account values(3300415, "name20415", 478.937);
insert into account values(3300416, "name20416", 568.251);
insert into account values(3300417, "name20417", 272.358);
insert into account values(3300418, "name20418", 827.484);
insert into account values(3300419, "name20419", 870.214);
insert into account values(3300420, "name20420", 127.892);
insert into account values(3300421, "name20421", 530.502);
insert into account values(3300422, "name20422", 247.137);
insert into account values(3300423, "name20423", 462.365);
insert into account values(3300424, "name20424", 743.733);
insert into account values(3300425, "name20425", 536.37);
insert into account values(3300426, "name20426", 778.701);
insert into account values(3300427, "name20427", 768.909);
insert into account values(3300428, "name20428", 138.164);
insert into account values(3300429, "name20429", 337.267);
insert into account values(3300430, "name20430", 295.029);
insert into account values(3300431, "name20431", 175.072);
insert into account values(3300432, "name20432", 3.672);
insert into account values(3300433, "name20433", 998.553);
insert into account values(3300434, "name20434", 990.348);
insert into account values(3300435, "name20435", 268.048);
insert into account values(3300436, "name20436", 774.151);
insert into account values(3300437, "name20437", 856.483);
insert into account values(3300438, "name20438", 770.77);
insert into account values(3300439, "name20439", 18.11);
insert into account values(3300440, "name20440", 190.369);
insert into account values(3300441, "name20441", 716.84);
insert into account values(3300442, "name20442", 977.489);
insert into account values(3300443, "name20443", 690.3);
insert into account values(3300444, "name20444", 261.306);
insert into account values(3300445, "name20445", 78.738);
insert into account values(3300446, "name20446", 447.327);
insert into account values(3300447, "name20447", 759.269);
insert into account values(3300448, "name20448", 328.355);
insert into account values(3300449, "name20449", 139.365);
insert into account values(3300450, "name20450", 419.143);
insert into account values(3300451, "name20451", 547.08);
insert into account values(3300452, "name20452", 752.242);
insert into account values(3300453, "name20453", 54.292);
insert into account values(3300454, "name20454", 88.248);
insert into account values(3300455, "name20455", 792.553);
insert into account values(3300456, "name20456", 562.718);
insert into account values(3300457, "name20457", 132.637);
insert into account values(3300458, "name20458", 333.164);
insert into account values(3300459, "name20459", 480.255);
insert into account values(3300460, "name20460", 335.443);
insert into account values(3300461, "name20461", 216.56);
insert into account values(3300462, "name20462", 534.77);
insert into account values(3300463, "name20463", 70.199);
insert into account values(3300464, "name20464", 413.036);
insert into account values(3300465, "name20465", 376.556);
insert into account values(3300466, "name20466", 561.02);
insert into account values(3300467, "name20467", 818.863);
insert into account values(3300468, "name20468", 61.98);
insert into account values(3300469, "name20469", 942.514);
insert into account values(3300470, "name20470", 106.906);
insert into account values(3300471, "name20471", 129.316);
insert into account values(3300472, "name20472", 715.332);
insert into account values(3300473, "name20473", 159.359);
insert into account values(3300474, "name20474", 472.509);
insert into account values(3300475, "name20475", 906.357);
insert into account values(3300476, "name20476", 801.752);
insert into account values(3300477, "name20477", 647.775);
insert into account values(3300478, "name20478", 93.317);
insert into account values(3300479, "name20479", 258.133);
insert into account values(3300480, "name20480", 635.778);
insert into account values(3300481, "name20481", 12.101);
insert into account values(3300482, "name20482", 218.468);
insert into account values(3300483, "name20483", 505.781);
insert into account values(3300484, "name20484", 276.438);
insert into account values(3300485, "name20485", 959.947);
insert into account values(3300486, "name20486", 920.792);
insert into account values(3300487, "name20487", 219.552);
insert into account values(3300488, "name20488", 544.484);
insert into account values(3300489, "name20489", 566.592);
insert into account values(3300490, "name20490", 904.717);
insert into account values(3300491, "name20491", 49.022);
insert into account values(3300492, "name20492", 297.969);
insert into account values(3300493, "name20493", 428.173);
insert into account values(3300494, "name20494", 476.265);
insert into account values(3300495, "name20495", 485.945);
insert into account values(3300496, "name20496", 874.366);
insert into account values(3300497, "name20497", 815.655);
insert into account values(3300498, "name20498", 844.614);
insert into account values(3300499, "name20499", 345.283);
insert into account values(3300500, "name20500", 175.711);
insert into account values(3300501, "name20501", 9.841);
insert into account values(3300502, "name20502", 442.524);
insert into account values(3300503, "name20503", 264.55);
insert into account values(3300504, "name20504", 683.237);
insert into account values(3300505, "name20505", 584.063);
insert into account values(3300506, "name20506", 726.156);
insert into account values(3300507, "name20507", 67.266);
insert into account values(3300508, "name20508", 967.781);
insert into account values(3300509, "name20509", 542.996);
insert into account values(3300510, "name20510", 923.621);
insert into account values(3300511, "name20511", 294.802);
insert into account values(3300512, "name20512", 514.911);
insert into account values(3300513, "name20513", 482.324);
insert into account values(3300514, "name20514", 944.763);
insert into account values(3300515, "name20515", 153.951);
insert into account values(3300516, "name20516", 500.92);
insert into account values(3300517, "name20517", 157.659);
insert into account values(3300518, "name20518", 472.427);
insert into account values(3300519, "name20519", 776.66);
insert into account values(3300520, "name20520", 730.985);
insert into account values(3300521, "name20521", 605.556);
insert into account values(3300522, "name20522", 922.297);
insert into account values(3300523, "name20523", 899.705);
insert into account values(3300524, "name20524", 229.509);
insert into account values(3300525, "name20525", 133.93);
insert into account values(3300526, "name20526", 25.498);
insert into account values(3300527, "name20527", 702.24);
insert into account values(3300528, "name20528", 139.014);
insert into account values(3300529, "name20529", 99.499);
insert into account values(3300530, "name20530", 213.394);
insert into account values(3300531, "name20531", 521.899);
insert into account values(3300532, "name20532", 804.977);
insert into account values(3300533, "name20533", 929.312);
insert into account values(3300534, "name20534", 161.936);
insert into account values(3300535, "name20535", 881.836);
insert into account values(3300536, "name20536", 790.301);
insert into account values(3300537, "name20537", 486.999);
insert into account values(3300538, "name20538", 595.788);
insert into account values(3300539, "name20539", 558.251);
insert into account values(3300540, "name20540", 697.12);
insert into account values(3300541, "name20541", 810.881);
insert into account values(3300542, "name20542", 264.184);
insert into account values(3300543, "name20543", 340.627);
insert into account values(3300544, "name20544", 604.531);
insert into account values(3300545, "name20545", 757.948);
insert into account values(3300546, "name20546", 933.556);
insert into account values(3300547, "name20547", 354.373);
insert into account values(3300548, "name20548", 71.513);
insert into account values(3300549, "name20549", 480.466);
insert into account values(3300550, "name20550", 550.656);
insert into account values(3300551, "name20551", 413.86);
insert into account values(3300552, "name20552", 470.091);
insert into account values(3300553, "name20553", 705.536);
insert into account values(3300554, "name20554", 971.455);
insert into account values(3300555, "name20555", 70.952);
insert into account values(3300556, "name20556", 28.215);
insert into account values(3300557, "name20557", 108.2);
insert into account values(3300558, "name20558", 470.606);
insert into account values(3300559, "name20559", 616.395);
insert into account values(3300560, "name20560", 270.645);
insert into account values(3300561, "name20561", 629.191);
insert into account values(3300562, "name20562", 734.009);
insert into account values(3300563, "name20563", 99.687);
insert into account values(3300564, "name20564", 788.256);
insert into account values(3300565, "name20565", 191.696);
insert into account values(3300566, "name20566", 31.606);
insert into account values(3300567, "name20567", 356.35);
insert into account values(3300568, "name20568", 348.515);
insert into account values(3300569, "name20569", 977.063);
insert into account values(3300570, "name20570", 856.456);
insert into account values(3300571, "name20571", 74.384);
insert into account values(3300572, "name20572", 543.346);
insert into account values(3300573, "name20573", 955.991);
insert into account values(3300574, "name20574", 364.565);
insert into account values(3300575, "name20575", 482.345);
insert into account values(3300576, "name20576", 465.028);
insert into account values(3300577, "name20577", 893.964);
insert into account values(3300578, "name20578", 905.92);
insert into account values(3300579, "name20579", 284.984);
insert into account values(3300580, "name20580", 485.656);
insert into account values(3300581, "name20581", 608.562);
insert into account values(3300582, "name20582", 116.904);
insert into account values(3300583, "name20583", 700.985);
insert into account values(3300584, "name20584", 270.525);
insert into account values(3300585, "name20585", 171.388);
insert into account values(3300586, "name20586", 715.895);
insert into account values(3300587, "name20587", 218.491);
insert into account values(3300588, "name20588", 903.392);
insert into account values(3300589, "name20589", 512.27);
insert into account values(3300590, "name20590", 249.036);
insert into account values(3300591, "name20591", 739.571);
insert into account values(3300592, "name20592", 789.377);
insert into account values(3300593, "name20593", 884.684);
insert into account values(3300594, "name20594", 550.794);
insert into account values(3300595, "name20595", 214.007);
insert into account values(3300596, "name20596", 352.182);
insert into account values(3300597, "name20597", 202.84);
insert into account values(3300598, "name20598", 437.614);
insert into account values(3300599, "name20599", 215.58);
insert into account values(3300600, "name20600", 54.095);
insert into account values(3300601, "name20601", 553.303);
insert into account values(3300602, "name20602", 364.517);
insert into account values(3300603, "name20603", 231.817);
insert into account values(3300604, "name20604", 439.953);
insert into account values(3300605, "name20605", 561.805);
insert into account values(3300606, "name20606", 319.172);
insert into account values(3300607, "name20607", 194.306);
insert into account values(3300608, "name20608", 273.412);
insert into account values(3300609, "name20609", 866.749);
insert into account values(3300610, "name20610", 429.078);
insert into account values(3300611, "name20611", 272.566);
insert into account values(3300612, "name20612", 390.637);
insert into account values(3300613, "name20613", 374.754);
insert into account values(3300614, "name20614", 977.673);
insert into account values(3300615, "name20615", 516.481);
insert into account values(3300616, "name20616", 786.924);
insert into account values(3300617, "name20617", 386.817);
insert into account values(3300618, "name20618", 971.705);
insert into account values(3300619, "name20619", 384.971);
insert into account values(3300620, "name20620", 749.422);
insert into account values(3300621, "name20621", 121.044);
insert into account values(3300622, "name20622", 652.46);
insert into account values(3300623, "name20623", 735.078);
insert into account values(3300624, "name20624", 991.876);
insert into account values(3300625, "name20625", 32.776);
insert into account values(3300626, "name20626", 422.86);
insert into account values(3300627, "name20627", 386.068);
insert into account values(3300628, "name20628", 567.771);
insert into account values(3300629, "name20629", 683.744);
insert into account values(3300630, "name20630", 377.425);
insert into account values(3300631, "name20631", 300.167);
insert into account values(3300632, "name20632", 986.802);
insert into account values(3300633, "name20633", 558.384);
insert into account values(3300634, "name20634", 359.484);
insert into account values(3300635, "name20635", 262.391);
insert into account values(3300636, "name20636", 171.751);
insert into account values(3300637, "name20637", 597.419);
insert into account values(3300638, "name20638", 378.565);
insert into account values(3300639, "name20639", 795.016);
insert into account values(3300640, "name20640", 285.306);
insert into account values(3300641, "name20641", 269.829);
insert into account values(3300642, "name20642", 760.638);
insert into account values(3300643, "name20643", 260.753);
insert into account values(3300644, "name20644", 586.896);
insert into account values(3300645, "name20645", 689.234);
insert into account values(3300646, "name20646", 862.621);
insert into account values(3300647, "name20647", 734.182);
insert into account values(3300648, "name20648", 984.01);
insert into account values(3300649, "name20649", 422.445);
insert into account values(3300650, "name20650", 169.054);
insert into account values(3300651, "name20651", 991.887);
insert into account values(3300652, "name20652", 775.611);
insert into account values(3300653, "name20653", 863.042);
insert into account values(3300654, "name20654", 583.327);
insert into account values(3300655, "name20655", 117.846);
insert into account values(3300656, "name20656", 396.493);
insert into account values(3300657, "name20657", 90.189);
insert into account values(3300658, "name20658", 28.778);
insert into account values(3300659, "name20659", 215.461);
insert into account values(3300660, "name20660", 657.117);
insert into account values(3300661, "name20661", 40.56);
insert into account values(3300662, "name20662", 5.886);
insert into account values(3300663, "name20663", 602.134);
insert into account values(3300664, "name20664", 74.083);
